customer_email,first_name,last_name,phone,birthday,customer_image,hotel_id,hotel_city,hotel_name,hotel_description,hotel_stars,hotel_owner_email,hotel_image,start_date,end_date,adults,children,boylovers
kornel.makkai34@example.com,Kornél,Makkai,+36670292350,1960-01-17,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-04-12,2024-04-14,2,0,9
elek.szalai35@example.com,Elek,Szalai,+36533550699,1957-10-08,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-04-15,2024-04-25,1,0,6
zsombor.nyul36@example.com,Zsombor,Nyúl,+36439699535,1966-04-22,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-04-18,2024-04-30,3,1,4
jeno.balogh37@example.com,Jenő,Balogh,+36821221887,1991-05-15,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-04-21,2024-04-27,1,0,7
zsombor.kiss38@example.com,Zsombor,Kiss,+36178663096,1984-04-17,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-04-24,2024-04-29,2,2,1
balazs.devenyi39@example.com,Balázs,Dévényi,+36406002884,1960-08-27,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-04-27,2024-05-06,3,0,10
feri.racz40@example.com,Feri,Rácz,+36812308209,1956-03-09,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-04-30,2024-05-02,1,1,4
gyuri.fodor41@example.com,Gyuri,Fodor,+36870530217,1971-04-22,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-05-03,2024-05-14,3,3,4
david.varga42@example.com,Dávid,Varga,+36781057736,1977-05-02,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-05-06,2024-05-07,3,1,10
gergo.fekete43@example.com,Gergő,Fekete,+36895890631,1978-09-23,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-05-09,2024-05-16,1,0,1
peter.orbanics44@example.com,Péter,Orbánics,+36138684919,1973-10-18,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-05-12,2024-05-15,4,1,0
imre.devenyi45@example.com,Imre,Dévényi,+36954829815,1952-06-07,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-05-15,2024-05-26,2,0,5
feri.gombos46@example.com,Feri,Gombos,+36766430218,1997-03-08,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-05-18,2024-06-01,2,1,6
bence.papp47@example.com,Bence,Papp,+36890880074,1971-07-26,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-05-21,2024-06-01,2,2,2
geza.erdos48@example.com,Géza,Erdős,+36141580226,1980-04-07,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-05-24,2024-06-07,4,2,4
misi.takacs49@example.com,Misi,Takács,+36125409494,1992-04-13,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-05-27,2024-06-02,3,0,4
karoly.makkai50@example.com,Károly,Makkai,+36529151399,1993-09-11,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-05-30,2024-05-31,1,2,2
gergo.toth51@example.com,Gergő,Tóth,+36216396351,1988-07-12,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-06-02,2024-06-14,3,3,9
balint.molnar52@example.com,Bálint,Molnár,+36513600440,1986-04-09,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-06-05,2024-06-06,4,0,8
erno.meszaros53@example.com,Ernő,Mészáros,+36491079829,1977-02-22,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-06-08,2024-06-14,3,0,4
balint.racz54@example.com,Bálint,Rácz,+36816070802,1976-06-13,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-06-11,2024-06-23,3,1,3
gusztav.erdos55@example.com,Gusztáv,Erdős,+36827264603,1997-03-20,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-06-14,2024-06-24,3,3,8
adam.racz56@example.com,Ádám,Rácz,+36408071259,1963-07-26,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-06-17,2024-06-27,3,3,7
marton.fodor57@example.com,Márton,Fodor,+36648868899,1980-12-06,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-06-20,2024-07-01,1,2,8
laszlo.varga58@example.com,László,Varga,+36978775497,1998-04-22,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-06-23,2024-06-28,2,1,2
bence.toth59@example.com,Bence,Tóth,+36362897676,1980-10-28,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-06-26,2024-07-09,1,3,6
zsombor.meszaros60@example.com,Zsombor,Mészáros,+36871318048,1994-07-16,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-06-29,2024-07-06,2,1,10
adam.kiss61@example.com,Ádám,Kiss,+36935822550,1977-04-06,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-07-02,2024-07-15,4,0,8
balazs.molnar62@example.com,Balázs,Molnár,+36590122159,1958-08-22,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-07-05,2024-07-14,3,3,9
balint.hegedus63@example.com,Bálint,Hegedűs,+36991816852,1985-08-06,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-07-08,2024-07-20,4,3,4
balazs.gulyas64@example.com,Balázs,Gulyás,+36922286180,1999-09-16,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-07-11,2024-07-22,2,2,7
elek.simon65@example.com,Elek,Simon,+36351785565,1967-06-11,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-07-14,2024-07-23,1,1,2
misi.erdos66@example.com,Misi,Erdős,+36845122940,1959-12-07,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-07-17,2024-07-19,4,3,5
erno.juhasz67@example.com,Ernő,Juhász,+36546434187,1953-04-27,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-07-20,2024-07-27,4,0,9
bela.kertesz68@example.com,Béla,Kertész,+36106330865,1972-05-25,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-07-23,2024-07-30,4,1,7
misi.gulyas69@example.com,Misi,Gulyás,+36567975319,1981-01-13,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-07-26,2024-08-01,4,1,7
mark.orbanics70@example.com,Márk,Orbánics,+36128955006,1975-10-19,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-07-29,2024-08-09,1,0,10
otto.balogh71@example.com,Ottó,Balogh,+36595744935,1961-01-09,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-08-01,2024-08-08,3,1,7
kalman.bakos72@example.com,Kálmán,Bakos,+36917364173,1974-05-25,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-08-04,2024-08-18,4,2,1
kornel.kovacs73@example.com,Kornél,Kovács,+36904258674,1984-01-12,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-08-07,2024-08-11,1,0,0
balazs.meszaros74@example.com,Balázs,Mészáros,+36121882877,1989-03-08,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-08-10,2024-08-13,4,0,9
zsolt.juhasz75@example.com,Zsolt,Juhász,+36851044796,1966-06-06,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-08-13,2024-08-23,1,1,4
geza.kovacs76@example.com,Géza,Kovács,+36434961542,1986-11-13,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-08-16,2024-08-23,2,0,9
balazs.kiss77@example.com,Balázs,Kiss,+36848605284,1999-05-28,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-08-19,2024-08-30,1,0,5
erno.hegedus78@example.com,Ernő,Hegedűs,+36810303128,1973-02-17,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-08-22,2024-09-02,3,0,6
arpad.kiss79@example.com,Árpád,Kiss,+36565492204,1973-11-27,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-08-25,2024-09-02,2,3,2
dominik.gulyas80@example.com,Dominik,Gulyás,+36761330848,2001-09-25,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-08-28,2024-09-05,4,3,9
kopasz.vincze81@example.com,Kopasz,Vincze,+36363598427,1955-05-15,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-08-31,2024-09-04,4,3,5
bence.lendvai82@example.com,Bence,Lendvai,+36448981305,1961-08-07,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-09-03,2024-09-09,3,2,4
kopasz.pap83@example.com,Kopasz,Pap,+36110899674,1983-04-03,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-09-06,2024-09-10,4,3,8
balazs.kertesz84@example.com,Balázs,Kertész,+36793532952,1995-08-15,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-09-09,2024-09-22,1,0,4
misi.fazekas85@example.com,Misi,Fazekas,+36842800803,1965-05-22,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-09-12,2024-09-22,3,3,8
dominik.csizmas86@example.com,Dominik,Csizmás,+36556881239,1997-09-11,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-09-15,2024-09-21,4,2,4
gergo.takacs87@example.com,Gergő,Takács,+36229553265,1996-04-11,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-09-18,2024-09-20,2,1,3
kornel.gulyas88@example.com,Kornél,Gulyás,+36878017216,1987-09-20,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-09-21,2024-09-26,1,1,4
misi.devenyi89@example.com,Misi,Dévényi,+36292673892,1969-01-23,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-09-24,2024-10-03,2,2,0
david.pap90@example.com,Dávid,Pap,+36413679331,1994-03-21,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-09-27,2024-10-11,4,0,0
zsombor.simon91@example.com,Zsombor,Simon,+36604011128,1980-08-11,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-09-30,2024-10-03,1,2,7
janos.horvath92@example.com,János,Horváth,+36530256336,1981-02-19,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-10-03,2024-10-14,1,1,2
zsombor.racz93@example.com,Zsombor,Rácz,+36191462297,1965-02-18,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-10-06,2024-10-19,4,1,8
bela.ivan94@example.com,Béla,Iván,+36575368059,1969-10-14,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-10-09,2024-10-14,1,0,3
zsolt.bognar95@example.com,Zsolt,Bognár,+36809129316,1955-03-08,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-10-12,2024-10-15,1,1,0
gusztav.ivan96@example.com,Gusztáv,Iván,+36840206617,1988-08-10,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-10-15,2024-10-16,2,2,4
zoltan.horvath97@example.com,Zoltán,Horváth,+36838073939,1964-05-26,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-10-18,2024-10-31,2,3,1
erno.takacs98@example.com,Ernő,Takács,+36795392488,1959-05-27,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-10-21,2024-10-24,1,0,2
imre.simon99@example.com,Imre,Simon,+36571537429,1957-08-23,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-10-24,2024-10-29,4,2,8
erno.lendvai100@example.com,Ernő,Lendvai,+36570040006,1955-10-02,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-10-27,2024-11-03,3,2,0
ferenc.takacs101@example.com,Ferenc,Takács,+36824022357,1986-10-01,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-10-30,2024-11-12,3,0,2
kornel.nyul102@example.com,Kornél,Nyúl,+36799552991,1978-05-06,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-11-02,2024-11-12,4,3,1
kornel.csizmas103@example.com,Kornél,Csizmás,+36538460431,1971-06-22,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-11-05,2024-11-07,2,2,6
arpad.simon104@example.com,Árpád,Simon,+36811443654,1975-09-02,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-11-08,2024-11-16,1,2,4
kalman.molnar105@example.com,Kálmán,Molnár,+36929517022,1975-09-27,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-11-11,2024-11-12,4,3,0
robert.nyul106@example.com,Róbert,Nyúl,+36488457631,1989-08-21,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-11-14,2024-11-22,1,1,4
feri.balogh107@example.com,Feri,Balogh,+36409268943,1978-12-16,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-11-17,2024-11-19,1,1,2
imre.pap108@example.com,Imre,Pap,+36114682844,1985-07-03,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-11-20,2024-11-24,1,3,1
peter.lendvai109@example.com,Péter,Lendvai,+36869446962,1968-09-23,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-11-23,2024-11-28,4,3,7
balazs.juhasz110@example.com,Balázs,Juhász,+36691916368,1959-07-07,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-11-26,2024-12-06,2,0,4
